id,Title,Authors,Year,Venue,Search Query,v1_decision,v1_reason,v2_decision,v2_reason
108,Leveraging text generation for enhanced user story quality,CA dos Santos,2025,constellation.uqac.ca,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Exclude,IC5 - Thiếu thực nghiệm đối chiếu định lượng
109,Improving Software Quality Framework Using Artificial Intelligence Platforms,"SM Pendyala - AI Frameworks and Tools for Software Development, 2025",2026,igi-global.com,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Exclude,IC5 - Thiếu thực nghiệm đối chiếu định lượng
110,Exploring large language models for requirements on string values,"AA Babikian, B Chen… - … RElevant Requirements …, 2025",2026,ieeexplore.ieee.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
111,Um experimento comparativo da eficácia de diferentes LLM na geração de cenários Gherkin.,HNF SOUSA,2025,dspace.sti.ufcg.edu.br,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
112,Ai-generated test scripts for web e2e testing with chatgpt and copilot: A preliminary study,"M Leotta, HZ Yousaf, F Ricca, B Garcia - Proceedings of the 28th …, 2024",2026,dl.acm.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
113,GUIDE: A Framework for Improving Functional Software Test Descriptions with Language Models,"M Ronzon, T Roger, Z Miklos… - Proceedings of the 8th …, 2025",2026,aclanthology.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
114,"… Testing: Test scenario and case generation with an AI model (gpt-3.5-turbo) using Prompt engineering, Fine-tuning and Retrieval augmented generation …",G Adu,2024,erepo.uef.fi,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
115,GenAI-based test case generation and execution in SDV platform,"D Zyberaj, L Mazur, N Petrovic, P Verma… - arXiv preprint arXiv …, 2025",2026,arxiv.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
116,VeriGen: An LLM-Augmented Framework for End-to-End Automation of Software Development Lifecycle-From Requirements Specifications to Code Generation,"MA Ahmed, MW Anwar, WH Butt, F Azam - IEEE Access, 2026",2026,ieeexplore.ieee.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
117,Integrating the capabilities offered by large language models into the requirements engineering process,"A Stein, A Mirzai, J Axmann, T Vietor - Digital Engineering, 2026",2026,Elsevier,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
118,Towards Automating User Story Classification with Large Language Models Using a Reuse-Oriented Taxonomy,"CEM de Souza, M Perkusich… - Simpósio Brasileiro de …, 2025",2026,sol.sbc.org.br,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
119,Enhancing security control production with generative AI,"C Ling, M Ghashami, V Gao, A Torkamani… - arXiv preprint arXiv …, 2024",2026,arxiv.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
120,[TRÍCH DẪN] PROMPTING STRATEGIES FOR LARGE LANGUAGE MODELS IN REQUIREMENTS ELICITATION,N Ali,2025,Google Scholar,StringA,EXCLUDE,EC2 - không tải được full-text (citation only),,
121,"Agile, development, testing: a rant that ends with ChatGPT",N Bartunek,2026,dev.to,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
122,Large Language Model (LLM)-Based Automation for Software Test Script Generation,"S Kavuri - Computer Fraud & Security, 2022",2026,researchgate.net,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
123,Impact of Large Language Models on Software Development Team's Work Processes: A Case Study of Product-Based Software Development Company,"E Adebayo, K Simakina",2025,diva-portal.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
124,Interlinking user stories and GUI prototyping: A semi-automatic LLM-based approach,"K Kolthoff, F Kretzer, C Bartelt… - … Requirements …, 2024",2026,ieeexplore.ieee.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
125,Designing a Domain-Specific Language to Address Challenges in Automated Web Testing,"M Widell, P Sadrian - LU-CS-EX, 2025",2026,lup.lub.lu.se,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
126,Large language model-brained gui agents: A survey,"C Zhang, S He, J Qian, B Li, L Li, S Qin, Y Kang… - arXiv preprint arXiv …, 2024",2026,arxiv.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
127,Automated test plan generation using large language models,"S Haldar, LF Capretz - Software Quality Journal, 2026",2026,Springer,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
128,Towards autoformalization of llm-generated outputs for requirement verification,"M Gupte - arXiv preprint arXiv:2511.11829, 2025",2026,arxiv.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
129,Optimizing the creation and maintenance of automated end-to-end tests for web application testing,T Maunu,2025,aaltodoc.aalto.fi,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
130,LLMs for Requirements Engineering: A Meta-Analysis on Trends and Challenges,"C Ciano, M Pelosi, A Del Prete, F Amato - International Conference on …, 2026",2026,Springer,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
131,AI driven Test Scenario Generator,"A Chatterjee - 2025 5th International Conference on …, 2025",2026,ieeexplore.ieee.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
132,Comprehensive Study of Parameter Efficient Fine tuning techniques on Small Language Models for Gherkin Scenario Generation,S Chandra Babu,2026,norma.ncirl.ie,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
133,Transforming user story definition: From deterministic to AI-powered automation.,"AP AVASILOAIE, A SEMENESCU… - Romanian Journal of …, 2025",2026,rria.ici.ro,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
134,Project Prometheus: Bridging the Intent Gap in Agentic Program Repair via Reverse-Engineered Executable Specifications,"Y Wang, Z Huang - arXiv preprint arXiv:2604.17464, 2026",2026,arxiv.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
135,Evaluasi Teknik Prompting pada Large Language Model untuk Otomatisasi Penyusunan Skenario Unit Testing Smart Contract,"S El Farisi, FA Marva - Jurnal Teknologi Informasi dan …, 2026",2026,journal.sekawan-org.id,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
136,"Systems, Software and Services Process Improvement: 32nd European Conference, EuroSPI 2025, Riga, Latvia, September 17–19, 2025, Proceedings, Part I","M Yilmaz, P Clarke, A Riel, R Messnarz, M Zelmenis…",2025,books.google.com,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
137,"Finding Duplicates in 1.1 M BDD Steps: cukereuse, a Paraphrase-Robust Static Detector for Cucumber and Gherkin","AH Mughal, N Fatima, M Bilal - arXiv preprint arXiv:2604.20462, 2026",2026,arxiv.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
138,AutoQALLMs: Automating Web Application Testing Using Large Language Models (LLMs) and Selenium,"S Mallipeddi, M Yaqoob, JA Khan, T Mehmood… - Computers, 2025",2026,mdpi.com,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
139,Api test case generation by extracting http requests during front-end testing,"YJ Guo, SP Ma, HJ Peng, YS Su - 2024 IEEE International …, 2024",2026,ieeexplore.ieee.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
140,Tracking the Evolution of Large Language Models in Requirements Elicitation and Analysis,"A Panigo, KP Bankoff, A Pasini, P Pesado - Argentine Congress of …, 2024",2026,Springer,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
141,Intelligent test case generation from textual security requirements in SCRUM: an NLP-driven approach,"C Taras, Z Myroslav",2025,science.lpnu.ua,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
142,Context-Aware Behavior-Driven Pipeline Generation,"P Gunathilaka, D Senadheera, S Perara… - … on Digital Forensics …, 2025",2026,ieeexplore.ieee.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
143,WaAgents: A Waterfall-Inspired Framework for Effective Multi-Agent Collaboration,"Z Cheng, YL Xiao, Q Huang, Z Zou, Z Xing, S Wang…",2026,openreview.net,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
144,Generative AI in Agile Software Development: A Comprehensive Survey,"NV Malladi, S Reddy - 2025 7th International Conference on …, 2025",2026,ieeexplore.ieee.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
145,[TRÍCH DẪN] LARGE LANGUAGE MODELS IN HIGH-LEVEL SOFTWARE TESTING,T Grönberg,2026,Google Scholar,StringA,EXCLUDE,EC2 - không tải được full-text (citation only),,
146,Enhancing Requirements via Structured Formalization and Process‐State Consistency Validation: An LLM‐Assisted Test‐Driven Framework,"H Li, L Zheng - IET Software, 2025",2026,Wiley Online Library,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
147,How I Used GPT-4 to Automatically Generate Test Cases from Functional Requirements in Healthcare Apps,PR Poola,2025,researchgate.net,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
148,Large language models for software testing: A research roadmap,"C Augusto, A Bertolino, G De Angelis, F Lonetti… - arXiv preprint arXiv …, 2025",2026,arxiv.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
149,A Test-Driven Approach for Refining Use Case Specifications of Software Requirements with LLMs,"H Li, L Zheng, Q Cai - International Conference on Formal Engineering …, 2025",2026,Springer,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
150,Integrating Model-Driven Engineering and Large Language Models for Test Scenario Generation for Smart Contracts,"I Al-Azzoni, S Iqbal, T Al Ashkar, Z Erum - Information, 2025",2026,mdpi.com,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
151,Enhancing Legal Compliance and Regulation Analysis with Large Language Models,S Hassaniahari,2026,ruor.uottawa.ca,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
152,Analyzing User Story Quality: A Systematic Review of Common Issues and Solutions.,"JV Oliveira, LM Fontoura - ICEIS (2), 2025",2026,scitepress.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
153,Automatic user story generation: a comprehensive systematic literature review,"CA dos Santos, K Bouchard… - International Journal of …, 2025",2026,Springer,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
154,A comprehensive framework for low-code data-centric process management,AN Eldin,2025,theses.hal.science,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
155,Toward AI-assisted Framework for Agile Requirement Knowledge Management: Five-Stage Generative LLM Approach,"R Kruk, N Zhukovska - 2025 15th International Conference on …, 2025",2026,ieeexplore.ieee.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
156,Implementation of Test Automation Using GitHub Copilot for the Software Quality Process in Financial Companies,"JE Paz-Diaz, P Valerio, W Ticona - Computer Science On-line Conference, 2025",2026,Springer,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
157,Personas for Model-based Testing,"B Budihala, J Michael, B Rumpe",2025,epub.uni-regensburg.de,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
158,[TRÍCH DẪN] Aplicación de IA generativa para el mantenimiento de pruebas automáticas,I Ascó Cholbi,2025,Google Scholar,StringA,EXCLUDE,EC2 - không tải được full-text (citation only),,
159,NLP4ReF: Requirements classification and forecasting: From model-based design to large language models,"J Peer, Y Mordecai, Y Reich - 2024 IEEE Aerospace …, 2024",2026,ieeexplore.ieee.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
160,SELF-LEARNING TEST AUTOMATION FRAMEWORKS USING REINFORCEMENT LEARNING AND LARGE LANGUAGE MODELS,J Greg,2025,researchgate.net,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
161,An efficient approach to represent enterprise web application structure using Large Language Model in the service of Intelligent Quality Engineering,"ZAH Ayon, G Husain, R Bisoi, W Rahman… - arXiv preprint arXiv …, 2025",2026,arxiv.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
162,GitHub Copilot for the Software Quality Process in Financial Companies,"JE Paz-Diaz¹, P Valerio¹, W Ticona - … : Emerging Trends and …, 2025",2026,books.google.com,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
163,Cypress copilot: Development of an AI assistant for boosting productivity and transforming web application testing,"SB Nettur, S Karpurapu, U Nettur, LS Gajja - IEEE Access, 2024",2026,ieeexplore.ieee.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
164,Using Large Language Models for System Modeling: Current State and Future Implications,"C Fresemann, C Ellsel… - 2025 IEEE …, 2025",2026,ieeexplore.ieee.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
165,Semi-Automatic Generation of Production Exception Handling for Agile Process Guidance,H Blaess,2025,repositum.tuwien.at,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
166,The Specification as Quality Gate: Three Hypotheses on AI-Assisted Code Review,"C Zietsman - arXiv preprint arXiv:2603.25773, 2026",2026,arxiv.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
167,LLM-Driven Accessible Interface: A Model-Based Approach,"B Jerry, L Moreno, V Francisco, R Hervas - arXiv preprint arXiv …, 2026",2026,arxiv.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
168,An LLM-Based System for Accessible and Personalized Scientific Communication,"M Rehman, A Petrillo, K Awasare - Procedia Computer Science, 2025",2026,Elsevier,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
169,How Software Testers Perceive Large Language Models: A Focus Group Study with Lexicometric Analysis,"I Silva, M Perkusich, D Albuquerque… - … de Engenharia de …, 2025",2026,sol.sbc.org.br,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
170,Enterprise-Grade Test Case Generation Framework Combining Retrieval-Augmented Generation with Multi-Modal Requirement Analysis,"LB Samuel, A Solomon - International Journal on Emerging Research Areas, 2026",2026,ijera.in,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
171,Large Language Models for Generating,"B Nast, T Arlt¹, J Dakowski¹… - … Information Systems: 26th …, 2026",2026,books.google.com,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
172,VECTOR: A Structured Method for AI-Assisted Fullstack Software Development,"FM Glancszpigel - Available at SSRN 6516343, 2026",2026,papers.ssrn.com,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
173,An Autonomous RL Agent Methodology for Dynamic Web UI Testing in a BDD Framework,"AH Mughal - arXiv preprint arXiv:2503.08464, 2025",2026,arxiv.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
174,AutoMT: A Multi-Agent LLM Framework for Automated Metamorphic Testing of Autonomous Driving Systems,"L Liang, C Tan, Y Deng, Y Cai, TY Chen… - arXiv preprint arXiv …, 2025",2026,arxiv.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
175,A Test-Driven Approach for Refining Use Case,"H Li, L Zheng, Q Cai - … 2025, Hangzhou, China, November 10–13 …, 2025",2026,books.google.com,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
176,Generative artificial intelligence in agile software development processes: A literature review focused on user experience,"H Cornide-Reyes, D Monsalves, E Durán… - … Conference on Human …, 2025",2026,Springer,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
177,Context of collaborative human-machine systems architecture design for enhanced functionality awareness and balanced command and control authority,"VK Marini, J Alfredson, P Krus - Swedish Aerospace Conference …, 2025",2026,ecp.ep.liu.se,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
178,NL: Het gebruik van LLM-prompt engineering voor het vertalen van acceptatiecriteria naar functionele eisen,"IMVA BPMIT, KASK van der Kruk, LW Rutledge…",2026,research.ou.nl,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
179,CodeProphet: A Predictive LLM Based Framework for Proactive Software Development Planning,"P Pisal, N Gupta, RR Ambavaram… - … , and Internet of …, 2025",2026,ieeexplore.ieee.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
180,"Evaluating LLM-Generated Test Scripts, Manual Test Development, and Capture-and-Replay Approaches for Testing XR Applications",SN Modarressi,2025,ucalgary.scholaris.ca,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
181,Towards code generation from bdd test case specifications: A vision,"L Chemnitz, D Reichenbach, H Aldebes… - arXiv preprint arXiv …, 2023",2026,arxiv.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
182,Swe-dev: Building software engineering agents with training and inference scaling,"H Wang, Z Hou, Y Wei, J Tang… - Findings of the …, 2025",2026,aclanthology.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
183,[TRÍCH DẪN] Generating Test Cases Through Large Language Models,E Foley,2024,WORCESTER POLYTECHNIC …,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
184,The Productivity-Reliability Paradox: Specification-Driven Governance for AI-Augmented Software Development,"SE Farrag - arXiv preprint arXiv:2605.01160, 2026",2026,arxiv.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
185,Design and implementation of a full stack automated software testing platform based on large language models,R Zhang,2026,lutpub.lut.fi,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
186,Automated testing of the gui of a real-life engineering software using large language models,"T Rosenbach, D Heidrich… - 2025 IEEE International …, 2025",2026,ieeexplore.ieee.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
187,"Unit test generation with GitHub Copilot, A Case Study",S Humalajoki,2024,utupub.fi,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
188,"LLM-as-a-Judge for Scalable Test Coverage Evaluation: Accuracy, Operational Reliability, and Cost","D Huang, S Chew, A Dutkiewicz, Z Wang - arXiv preprint arXiv …, 2025",2026,arxiv.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
189,Large language models for software engineering: Survey and open problems,"A Fan, B Gokkaya, M Harman… - 2023 IEEE/ACM …, 2023",2026,ieeexplore.ieee.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
190,Reducing information asymmetry in software product management: An LLM-based reverse engineering framework,"E Surk, GG Menekse Dalveren, M Derawi - Applied Sciences, 2026",2026,mdpi.com,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
191,Generating Abuse Stories and Misuse Cases using Large Language Models,"C Cheh, NSK Shing, R Lim… - 2024 Annual Computer …, 2024",2026,ieeexplore.ieee.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
192,Conceptual Framework for Integrating Generative AI into the Product Management Lifecycle,"F Ghazi, S Mariam",2026,researchgate.net,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
193,Bachelor's Thesis Computing Science,"D Elens, M Wessel, J Richards, J Jorna, E Poll",2025,cs.ru.nl,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
194,Technique to Baseline QE Artefact Generation Aligned to Quality Metrics,"E Farchi, K Nayak, PG Majumdar, S Route - arXiv preprint arXiv …, 2025",2026,arxiv.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
195,Software testing with generative AI,M Winteringham,2024,books.google.com,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
196,LLM4TDG: test-driven generation of large language models based on enhanced constraint reasoning,"J Liu, R Liang, X Zhu, Y Zhang, Y Liu, Q Liu - Cybersecurity, 2025",2026,Springer,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
197,Chatgpt as a full-stack web developer,"V Liukko, A Knappe, T Anttila, J Hakala, J Ketola… - Generative AI for …, 2024",2026,Springer,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
198,Evaluation-Driven Development and Operations of LLM Agents: A Process Model and Reference Architecture,"B Xia, Q Lu, L Zhu, Z Xing, D Zhao, H Zhang - arXiv preprint arXiv …, 2024",2026,arxiv.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
199,Quality Engineering for Agile and DevOps on the Cloud and Edge,"E Farchi, S Route - arXiv preprint arXiv:2302.03651, 2023",2026,arxiv.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
200,Reversa: A Reverse Documentation Engineering Framework for Converting Legacy Software into Operational Specifications for AI Agents,"SO de Macedo, RM da Costa - arXiv preprint arXiv:2605.18684, 2026",2026,arxiv.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
201,Bidirectional Empowerment of Metamorphic Testing and Large Language Models: A Systematic Survey,"Z Zheng, Z Zhou, Y Xu, D Ren, TY Chen - arXiv preprint arXiv:2605.13898, 2026",2026,arxiv.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
202,Boosting LLM-based software generation by aligning code with requirements,"T Yaacov, A Elyasaf, G Weiss - … International Requirements …, 2024",2026,ieeexplore.ieee.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
203,Extending Test-driven development to Softwarized Networks and Intent Based Networking,"D Berardi, M Fontana, B Martini - 2025 21st International …, 2025",2026,ieeexplore.ieee.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
204,Transforming Test Automation: AI-Driven Object Locator Extraction for Delphi-Based Applications,"MN Afatsun, Ö Keküllüoğlu… - 2025 9th International …, 2025",2026,ieeexplore.ieee.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
205,Automated Test Case Generation Using Machine Learning And Natural Language Processing,"AD MR, A Jabbar - 2025 International Conference on Intelligent …, 2025",2026,ieeexplore.ieee.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
206,"Comparative Analysis of API Test Automation Frameworks: An Experimental Study on Performance, Reliability, and CI/CD",YR Shah,2026,researchgate.net,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
207,Multi-modal requirements data-based acceptance criteria generation using llms,"F Wang, C Arora, Y Liu, K Huang… - arXiv preprint arXiv …, 2025",2026,arxiv.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
208,LLM-Empowered Scriptless Functional Testing,"C Van Hooren, FP Ricós, S Bromuri… - … on Software Quality …, 2025",2026,ieeexplore.ieee.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
209,Generative Artificial Intelligence for Software Development Using ISO/IEC 29110 Basic Profile: Gaps and Opportunities,"J Valdivia, D Mauricio, R Guzmán-Jiménez - IEEE Access, 2026",2026,ieeexplore.ieee.org,StringA,EXCLUDE,IC2 - xuất bản trước 2018 (năm 2026),,
210,Towards Automated Software Testing-Applying TextGrad to Test Suite Generation using LLMs,M Gärtner,2026,sosy-lab.org,StringA,EXCLUDE,IC2 - xuất bản trước 2018 (năm 2026),,
211,Completion of SysML state machines from Given–When–Then requirements: M. Stella de Biase et al.,"MS De Biase, S Bernardi, S Marrone… - Software and Systems …, 2024",2026,Springer,StringA,EXCLUDE,IC2 - xuất bản trước 2018 (năm 2026),,
212,Towards generative AI-powered engineering of critical systems,"JP Koopman - TU Delft, 2025",2026,repository.tudelft.nl,StringA,EXCLUDE,IC2 - xuất bản trước 2018 (năm 2026),,
213,Early-Stage Product Line Validation Using LLMs: A Study on Semi-Formal Blueprint Analysis,"VM Le, TNT Tran, S Lubos, A Felfernig… - arXiv preprint arXiv …, 2026",2026,arxiv.org,StringA,EXCLUDE,IC2 - xuất bản trước 2018 (năm 2026),,
214,Leveraging Large Language Model for Ambiguity Detection and Resolution in Software Requirements,A Raj,2024,search.proquest.com,StringA,EXCLUDE,IC2 - xuất bản trước 2018 (năm 2024),,
215,Security Is Relative: Training-Free Vulnerability Detection via Multi-Agent Behavioral Contract Synthesis,"Y Wang, Z Huang - arXiv preprint arXiv:2604.19012, 2026",2026,arxiv.org,StringA,EXCLUDE,IC2 - xuất bản trước 2018 (năm 2026),,
216,Harnessing AI From Code Reusability to Business Requirement Translation,"V Ghaatki - AI Frameworks and Tools for Software Development, 2025",2026,igi-global.com,StringA,EXCLUDE,IC2 - xuất bản trước 2018 (năm 2026),,
217,LLM-based MaSE,SH Zadeh,2025,hivelab-uoft.ca,StringA,EXCLUDE,IC2 - xuất bản trước 2018 (năm 2025),,
