id,title,authors,year,venue,search_string,v1_decision,v1_reason
1,Software Engineering Education Must Adapt and Evolve for an LLM Environment,"Vassilka D. Kirova, Cyril S. Ku, Joseph R. Laracy, Thomas J. Marlowe",2024,SIGCSE : Proceedings of the 55th ACM Technical Symposium on Computer Science Education V. 1Pages 666–672https://doi.org/10.1145/3626252.3630927,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
2,"LLM-Based Multi-Agent Systems for Software Engineering: Literature Review, Vision, and the Road Ahead","Junda He, Christoph Treude, David Lo",2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 34, Issue 5Article No.: 124, Pages 1–30https://doi.org/10.1145/3712003",String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
3,Quality Assessment of Python Tests Generated by Large Language Models,"Victor Alves, Carla Bezerra, Ivan Machado, Larissa Rocha, Tassio Virgínio, + 1",2026,EASE '25: Proceedings of the 29th International Conference on Evaluation and Assessment in Software EngineeringPages 394–405https://doi.org/10.1145/3756681.3756964,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
4,CodeNoCode Predictive Modeling: Co-Development with LLMs for Transparency and Inclusivity,"Felix Dobslaw, Leif Sundberg",2026,FSE Companion '25: Proceedings of the 33rd ACM International Conference on the Foundations of Software EngineeringPages 1550–1551https://doi.org/10.1145/3696630.3731675,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
5,SAST '23: Proceedings of the 8th Brazilian Symposium on Systematic and Automated Software Testing,"Awdren Fontão, Débora Paiva, Hudson Borges, Maria Istela, + 5",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
6,Summary of the 5th International Workshop on Automated andverifiable Software sYstem DEvelopment (ASYDE)co-located with the 38th IEEE/ACM ASE 2023,"Farhad Arbab, Marco Autili, Federico Ciccozzi, Pascal Poizat, Massimo Tivoli",2026,"ACM SIGSOFT Software Engineering Notes (SIGSOFT), Volume 49, Issue 1Pages 24–26https://doi.org/10.1145/3635439.3635444",String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
7,TimelyTale: A Multimodal Dataset Approach to Assessing Passengers' Explanation Demands in Highly Automated Vehicles,"Gwangbin Kim, Seokhyun Hwang, Minwoo Seong, Dohyeon Yeo, Daniela Rus, + 1",2026,"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies (IMWUT), Volume 8, Issue 3Article No.: 109, Pages 1–60https://doi.org/10.1145/3678544",String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
8,"A-TEST 2024: Proceedings of the 15th ACM International Workshop on Automating Test Case Design, Selection and Evaluation","Wishnu Prasetya, Tanja E. J. Vos, Tijs van der Storm",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
9,Are Vision LLMs Road-Ready? A Comprehensive Benchmark for Safety-Critical Driving Video Understanding,"Tong Zeng, Longfeng Wu, Liang Shi, Dawei Zhou, Feng Guo",2026,KDD '25: Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2Pages 5972–5983https://doi.org/10.1145/3711896.3737396,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
10,ASE '22: Proceedings of the 37th IEEE/ACM International Conference on Automated Software Engineering,"2,875 Citation 251,694 Downloads Highlights",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
11,AST '24: Proceedings of the 5th ACM/IEEE International Conference on Automation of Software Test (AST 2024),"Francesca Lonetti, Antonio Guerriero, Mehrdad Saadatmand, + 2",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
12,"Developer Experiences with a Contextualized AI Coding Assistant: Usability, Expectations, and Outcomes","Gustavo Pinto, Cleidson De Souza, Thayssa Rocha, Igor Steinmacher, + 2",2026,CAIN '24: Proceedings of the IEEE/ACM 3rd International Conference on AI Engineering - Software Engineering for AIPages 81–91https://doi.org/10.1145/3644815.3644949,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
13,"AI2A '24: Proceedings of the 2024 4th International Conference on Artificial Intelligence, Automation and Algorithms","12 Citation 12,709 Downloads Highlights",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
14,Vision-Based Mobile App GUI Testing: A Survey,"Shengcheng Yu, Chunrong Fang, Ziyuan Tuo, Quanjun Zhang, + 3",2026,"ACM Computing Surveys (CSUR), Volume 58, Issue 6Article No.: 142, Pages 1–46https://doi.org/10.1145/3773027",String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
15,ASPDAC '24: Proceedings of the 29th Asia and South Pacific Design Automation Conference,Taewhan Kim,2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
16,ICSIM '26: Proceedings of the 2026 9th International Conference on Software Engineering and Information Management,"Yonghui Li, Hiroaki Nishi",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
17,A Survey of Machine Learning Approaches in Logic Synthesis,"Miao Liu, Liwei Ni, Junfeng Liu, Xingyu Meng, Rui Wang, Xiaoze Lin, + 3",2026,"ACM Transactions on Design Automation of Electronic Systems (TODAES), Volume 31, Issue 2Article No.: 38, Pages 1–43https://doi.org/10.1145/3785362",String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
18,"AIAHPC '24: Proceedings of the 2024 4th International Conference on Artificial Intelligence, Automation and High Performance Computing","43 Citation 18,844 Downloads Highlights",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
19,WSSE '25: Proceedings of the 2025 7th World Symposium on Software Engineering,"2 Citation 5,017 Downloads Highlights",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
20,Urban Computing in the Era of Large Language Models,"Zhonghang Li, Lianghao Xia, Xubin Ren, Jiabin Tang, Tianyi Chen, + 2",2026,"ACM Transactions on Intelligent Systems and Technology (TIST), Volume 16, Issue 6Article No.: 146, Pages 1–43https://doi.org/10.1145/3768163",String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
21,Towards Integrating Behavior-Driven Development in Mobile Development: An Experience Report,"Qiang Hao, Ruohan Liu",2025,SIGCSETS : Proceedings of the 56th ACM Technical Symposium on Computer Science Education V. 1Pages 450–456https://doi.org/10.1145/3641554.3701875,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
22,InternDrive: A Multimodal Large Language Model for Autonomous Driving Scenario Understanding,"Ye Zhang, Yiming Nie",2024,"AIAHPC '24: Proceedings of the  4th International Conference on Artificial Intelligence, Automation and High Performance ComputingPages 294–305https://doi.org/10.1145/3690931.3690982",String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
23,Increasing Test Coverage by Automating BDD Tests in Proofs of Concepts (POCs) using LLM,"Shexmo Richarlison Ribeiro dos Santos, Raiane Eunice S. Fernandes, + 4",2026,SBQS '24: Proceedings of the XXIII Brazilian Symposium on Software QualityPages 519–525https://doi.org/10.1145/3701625.3701637,String A,INCLUDE,
24,Automated Derivation of UML Sequence Diagrams from User Stories: Unleashing the Power of Generative AI vs. a Rule-Based Approach,"Munima Jahan, Mohammad Mahdi Hassan, Reza Golpayegani, Golshid Ranjbaran, + 3",2026,MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and SystemsPages 138–148https://doi.org/10.1145/3640310.3674081,String A,INCLUDE,
25,Automated Generation and Refinement of Agile User Stories from Game Design Documents Using Large Language Models,"Wail Khelifa, Bruno Bouchard, Gilles Imbeau",2026,ICSIM '26: Proceedings of the  9th International Conference on Software Engineering and Information ManagementPages 104–113https://doi.org/10.1145/3796315.3796330,String A,INCLUDE,
26,Requirements-Driven Automated Software Testing: A Systematic Review,"Fanyu Wang, Chetan Arora, Chakkrit Tantithamthavorn, Kaicheng Huang, + 1",2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Just Accepted https://doi.org/10.1145/3767739",String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
27,Empowering Agile-Based Generative Software Development through Human-AI Teamwork,"Sai Zhang, Zhenchang Xing, Ronghui Guo, Fangzhou Xu, Lei Chen, + 4",2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 34, Issue 6Article No.: 156, Pages 1–46https://doi.org/10.1145/3702987",String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
28,Use of ChatGPT as an Assistant in the End-to-End Test Script Generation for Android Apps,"Boni García, Maurizio Leotta, Filippo Ricca, Jim Whitehead",2024,"A-TEST : Proceedings of the 15th ACM International Workshop on Automating Test Case Design, Selection and EvaluationPages 5–11https://doi.org/10.1145/3678719.3685691",String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
29,From Bugs to Benefits: Improving User Stories by Leveraging Crowd Knowledge with CrUISE-AC,"Stefan Schwedt, Thomas Ströder",2025,ICSE '25: Proceedings of the IEEE/ACM 47th International Conference on Software EngineeringPages 1385–1395https://doi.org/10.1109/ICSE55347..00217,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
30,First Experiments on Automated Execution of Gherkin Test Specifications with Collaborating LLM Agents,"Severin Bergsmann, Alexander Schmidt, Stefan Fischer, Rudolf Ramler",2024,"A-TEST : Proceedings of the 15th ACM International Workshop on Automating Test Case Design, Selection and EvaluationPages 12–15https://doi.org/10.1145/3678719.3685692",String A; String B,UNSURE,Không rõ bài nghiên cứu có số liệu kết quả thực nghiệm chi tiết không
31,Exploring the Use of Large Language Models in Requirements Engineering Education: An Experience Report with ChatGPT 3.5,"Savio Sousa Sampaio, Márcia Sampaio Lima, Eriky Rodrigues de Souza, + 3",2026,SBQS '24: Proceedings of the XXIII Brazilian Symposium on Software QualityPages 624–634https://doi.org/10.1145/3701625.3701687,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
32,AI-Generated Test Scripts for Web E2E Testing with ChatGPT and Copilot: A Preliminary Study,"Maurizio Leotta, Hafiz Zeeshan Yousaf, Filippo Ricca, Boni Garcia",2026,EASE '24: Proceedings of the 28th International Conference on Evaluation and Assessment in Software EngineeringPages 339–344https://doi.org/10.1145/3661167.3661192,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
33,InferCG: Enhancing Python Call Graph Generation via Static Analysis and Large Language Models,"Dongming Xiang, Shichao Wu, Hanqian Tu, Wang Lin, Zuohua Ding",2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Just Accepted https://doi.org/10.1145/3799990",String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
34,Enhancing the Resiliency of Automated Web Tests with Natural Language,"Maroun Ayli, Youssef Bakouny, Nader Jalloul, Rima Kilany",2024,"AI2A '24: Proceedings of the  4th International Conference on Artificial Intelligence, Automation and AlgorithmsPages 63–69https://doi.org/10.1145/3700523.3700536",String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
35,Test Script Intention Generation for Mobile Application via GUI Image and Code Understanding,"Shengcheng Yu, Chunrong Fang, Jia Liu, Zhenyu Chen",2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 35, Issue 1Article No.: 18, Pages 1–30https://doi.org/10.1145/3722105",String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
36,Metamorphic Relation Generation: State of the Art and Research Directions,"Rui Li, Huai Liu, Pak-Lok Poon, Dave Towey, Chang-Ai Sun, + 3",2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 34, Issue 5Article No.: 149, Pages 1–25https://doi.org/10.1145/3708521",String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
37,Generative AI for Self-Adaptive Systems: State of the Art and Research Roadmap,"Jialong Li, Mingyue Zhang, Nianyu Li, Danny Weyns, Zhi Jin, Kenji Tei",2026,"ACM Transactions on Autonomous and Adaptive Systems (TAAS), Volume 19, Issue 3Article No.: 13, Pages 1–60https://doi.org/10.1145/3686803",String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
38,SafeDriveRAG: Towards Safe Autonomous Driving with Knowledge Graph-based Retrieval-Augmented Generation,"Hao Ye, Mengshi Qi, Zhaohong Liu, Liang Liu, Huadong Ma",2026,MM '25: Proceedings of the 33rd ACM International Conference on MultimediaPages 11170–11178https://doi.org/10.1145/3746027.3755868,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
39,Using GitHub Copilot for Test Generation in Python: An Empirical Study,"Khalid El Haji, Carolin Brandt, Andy Zaidman",2024,AST '24: Proceedings of the 5th ACM/IEEE International Conference on Automation of Software Test (AST )Pages 45–55https://doi.org/10.1145/3644032.3644443,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
40,Evaluating LLM Driving Explanations through an Ego-Centric Scenario Taxonomy,"Shengheng Yan, Tsvetomila Mihaylova",2026,HRI Companion '26: Companion Proceedings of the 21st ACM/IEEE International Conference on Human-Robot InteractionPages 604–608https://doi.org/10.1145/3776734.3794466,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
41,CodeQueries: A Dataset of Semantic Queries over Code,"Surya Prakash Sahu, Madhurima Mandal, Shikhar Bharadwaj, Aditya Kanade, + 2",2026,"ISEC '24: Proceedings of the 17th Innovations in Software Engineering ConferenceArticle No.: 7, Pages 1–11https://doi.org/10.1145/3641399.3641408",String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
42,Emerging Advanced Technologies for Game Engineering,"Joan Arnedo-Moreno, Kendra M. L. Cooper, Dayi Lin",2026,"ACM SIGSOFT Software Engineering Notes (SIGSOFT), Volume 49, Issue 3Pages 37–41https://doi.org/10.1145/3672089.3672101",String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
43,MM '24: Proceedings of the 32nd ACM International Conference on Multimedia,"Jianfei Cai, Mohan Kankanhalli, Balakrishnan Prabhakaran, + 7",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
44,WSDM '24: Proceedings of the 17th ACM International Conference on Web Search and Data Mining,"Luz Angélica, Silvio Lattanzi, Andrés Muñoz Medina, + 3",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
45,SBQS '24: Proceedings of the XXIII Brazilian Symposium on Software Quality,"Ivan Machado, José Maldonado, Tayana Conte, Edna Canedo, + 11",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
46,MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems,"Alexander Egyed, Manuel Wimmer, Marsha Chechik, + 1",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
47,coTherapist: A Behavior-Aligned Small Language Model Framework to Support Mental Healthcare Experts,"Prottay Kumar Adhikary, Reena Rawat, Tanmoy Chakraborty",2026,WWW '26: Proceedings of the ACM Web Conference 2026Pages 9529–9540https://doi.org/10.1145/3774904.3792988,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
48,GAS '24: Proceedings of the ACM/IEEE 8th International Workshop on Games and Software Engineering,"12 Citation 2,435 Downloads Highlights",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
49,Foundation Models for Autonomous Driving Systems: An Initial Roadmap,"Xiongfei Wu, Mingfei Cheng, Xiaoning Ren, Qiang Hu, Jianlang Chen, + 6",2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Just Accepted https://doi.org/10.1145/3807455",String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
50,Development of a Digital Intelligence Training System for Faculty in Smart Health and Elderly Care Services and Management Based on the MVC Pattern,"Xiao Tan, Xifeng Tian, Maoya Yang",2026,DEIT '26: Proceedings of the  2nd International Conference on Digital Education and Information TechnologyPages 102–107https://doi.org/10.1145/3802607.3802624,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
51,Unearthing Semantic Checks for Cloud Infrastructure-as-Code Programs,"Yiming Qiu, Patrick Tser Jern Kon, Ryan Beckett, Ang Chen",2026,SOSP '24: Proceedings of the ACM SIGOPS 30th Symposium on Operating Systems PrinciplesPages 574–589https://doi.org/10.1145/3694715.3695974,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
52,Toward Reproducing Network Research Results Using Large Language Models,"Qiao Xiang, Yuling Lin, Mingjun Fang, Bang Huang, Siyong Huang, + 4",2026,HotNets '23: Proceedings of the 22nd ACM Workshop on Hot Topics in NetworksPages 56–62https://doi.org/10.1145/3626111.3628189,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
53,SIGCSETS 2025: Proceedings of the 56th ACM Technical Symposium on Computer Science Education V. 2,"Jeffrey A. Stone, Timothy Yuen, Libby Shoop, + 2",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
54,ICAIL '25: Proceedings of the Twentieth International Conference on Artificial Intelligence and Law,Juliano Maranhão,2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
55,MLCAD '24: Proceedings of the 2024 ACM/IEEE International Symposium on Machine Learning for CAD,"Hussam Amrouch, Jiang Hu, Siddharth Garg, Yibo Lin",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
56,FDG '24: Proceedings of the 19th International Conference on the Foundations of Digital Games,"Gillian Smith, Jim Whitehead, Ben Samuel, Katta Spiel, + 1",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
57,SIGCSETS 2025: Proceedings of the 56th ACM Technical Symposium on Computer Science Education V. 1,"Jeffrey A. Stone, Timothy Yuen, Libby Shoop, + 2",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
58,EASE '25: Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering,"Muhammad Ali Babar, Ayşe Tosun, Stefan Wagner, Viktoria Stray",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
59,"EuroPLoP '24: Proceedings of the 29th European Conference on Pattern Languages of Programs, People, and Practices","71 Citation 27,406 Downloads Highlights",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
60,GLSVLSI '25: Proceedings of the Great Lakes Symposium on VLSI 2025,"Lu Peng, Boris Vaisband, Fan Chen, Peipei Zhou, + 2",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
61,Generalized Source-Free Domain-adaptive Segmentation via Reliable Knowledge Propagation,"Qi Zang, Shuang Wang, Dong Zhao, Yang Hu, Dou Quan, Jinlong Li, + 2",2026,MM '24: Proceedings of the 32nd ACM International Conference on MultimediaPages 5967–5976https://doi.org/10.1145/3664647.3680567,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
62,Twins: Hardware Similarity Evaluation Framework Using Graph Neural Network,"Yiran He, Haihua Shen, Zirui Jiang, Shan Li, Xiao Ji, Huawei Li",2026,"ACM Transactions on Design Automation of Electronic Systems (TODAES), Volume 31, Issue 3Article No.: 57, Pages 1–25https://doi.org/10.1145/3786598",String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
63,Out-of-Distribution Detection: A Task-Oriented Survey of Recent Advances,"Shuo Lu, Yingsheng Wang, Lijun Sheng, Lingxiao He, Aihua Zheng, Jian Liang",2026,"ACM Computing Surveys (CSUR), Volume 58, Issue 2Article No.: 37, Pages 1–39https://doi.org/10.1145/3760390",String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
64,CAIN '24: Proceedings of the IEEE/ACM 3rd International Conference on AI Engineering - Software Engineering for AI,"Jane Cleland-Huang, Jan Bosch, Henry Muccini, Grace Lewis",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
65,ICSE-SEET '24: Proceedings of the 46th International Conference on Software Engineering: Software Engineering Education and Training,"Ana Paiva, Rui Abreu, Kiev Gama, Janet Siegmund, + 2",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
66,HRI Companion '26: Companion Proceedings of the 21st ACM/IEEE International Conference on Human-Robot Interaction,"Lynne Baillie, William D. Smart, Maartje De Graaf, + 2",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
67,EASE '24: Proceedings of the 28th International Conference on Evaluation and Assessment in Software Engineering,"599 Citation 80,144 Downloads Highlights",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
68,Author’s Biography/Index,Don Batory,2026,Science of Software Product LinesMarch 2026https://doi.org/10.1145/3731302.3731332,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
69,SAC '23: Proceedings of the 38th ACM/SIGAPP Symposium on Applied Computing,"Jiman Hong, Maart Lanperne, Juw Won Park, Tomas Cerny, + 1",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
70,ICSE '24: Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,"Ana Paiva, Rui Abreu, Abhik Roychoudhury, Margaret Storey",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
71,SBES '23: Proceedings of the XXXVII Brazilian Symposium on Software Engineering,"244 Citation 17,264 Downloads Highlights",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
72,Annotating Slack Directly on Your Verilog: Fine-Grained RTL Timing Evaluation for Early Optimization,"Wenji Fang, Shang Liu, Hongce Zhang, Zhiyao Xie",2026,"DAC '24: Proceedings of the 61st ACM/IEEE Design Automation ConferenceArticle No.: 62, Pages 1–6https://doi.org/10.1145/3649329.3655671",String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
73,KDD '25: Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2,"Luiza Antonie, Jian Pei, Xiaohui Yu, Hady W. Lauw, + 7",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
