id,title,authors,year,venue,search_string,v1_decision,v1_reason
74,OzCHI '25: Proceedings of the 37th Australian Conference on Human-Computer Interaction,"Joel Fredericks, Soojeong Yoo, Tram Thi Minh Tran, + 11",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
75,ITiCSE 2024: Proceedings of the 2024 on Innovation and Technology in Computer Science Education V. 1,"Mattia Monga, Violetta Lonati, Erik Barendsen, Judithe Sheard, + 1",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
76,Concept-based Explainable Artificial Intelligence: A Survey,"Eleonora Poeta, Gabriele Ciravegna, Eliana Pastor, Tania Cerquitelli, Elena Baralis",2026,"ACM Computing Surveys (CSUR), Just Accepted https://doi.org/10.1145/3774643",String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
77,SPLC-A '25: Proceedings of the 29th ACM International Systems and Software Product Line Conference - Volume A,"Miguel R. Luaces, Tirso V. Rodeiro, Sandra Greiner, + 16",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
78,RSP '23: Proceedings of the 34th International Workshop on Rapid System Prototyping,"13 Citation 2,107 Downloads Highlights",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
79,ISEC '24: Proceedings of the 17th Innovations in Software Engineering Conference,"Sujit Kumar Chakrabarti, Aseem Rastogi, Sudipto Ghosh, + 4",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
80,GLSVLSI '24: Proceedings of the Great Lakes Symposium on VLSI 2024,"Inna Partin-Vaisband, Srinivas Katkoori, Lu Peng, + 2",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
81,Internetware '24: Proceedings of the 15th Asia-Pacific Symposium on Internetware,"Hong Mei, Jian Lv, Abdelsalam Helal, Xiaoxing Ma, + 3",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
82,DEIT '26: Proceedings of the 2026 2nd International Conference on Digital Education and Information Technology,"0 Citation 13,471 Downloads Highlights",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
83,FPGA '25: Proceedings of the 2025 ACM/SIGDA International Symposium on Field Programmable Gate Arrays,"Andrew Putnam, Jing Li",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
84,"ASPLOS '25: Proceedings of the 30th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 2","Lieven Eeckhout, Georgios Smaragdakis, Katai Liang, + 3",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
85,Science of Software Product Lines,Don Batory,2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
86,SenSys '26: Proceedings of the 2026 ACM/IEEE International Conference on Embedded Artificial Intelligence and Sensing Systems,"Gian Pietro Picco, Thiemo Voigt, Jeremy Gummeson, Pei Zhang,+ 1",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
87,EASE Companion '25: Proceedings of the 2025 29th International Conference on Evaluation and Assessment in Software Engineering Companion,"Muhammad Ali Babar, Ayşe Tosun, Stefan Wagner, Viktoria Stray",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
88,CCS '25: Proceedings of the 2025 ACM SIGSAC Conference on Computer and Communications Security,"Chun-Ying Huang, Jyh-Cheng Chen, Shiuh-Pyng Shieh, + 2",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
89,"ARES '24: Proceedings of the 19th International Conference on Availability, Reliability and Security","489 Citation 256,730 Downloads Highlights",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
90,Open Problems,Don Batory,2026,Science of Software Product LinesMarch 2026https://doi.org/10.1145/3731302.3731321,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
91,Improving Semi-Supervised Text Classification with Dual Meta-Learning,"Shujie Li, Guanghu Yuan, Min Yang, Ying Shen, Chengming Li, + 2",2026,"ACM Transactions on Information Systems (TOIS), Volume 42, Issue 4Article No.: 109, Pages 1–28https://doi.org/10.1145/3648612",String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
92,HRI Companion '24 : Companion Proceedings of the 2024 ACM/IEEE International Conference on Human-Robot Interaction,"Dan Grollman, Elizabeth Broadbent, Wendy Ju, Harold Soh, + 1",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
93,ESEC/FSE 2023: Proceedings of the 31st ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering,"Satish Chandra, Kelly Blincoe, Paolo Tonella",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
94,CCS '24: Proceedings of the 2024 on ACM SIGSAC Conference on Computer and Communications Security,"Bo Luo, Xiaojing Liao, Jun Xu, Engin Kirda, David Lie",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
95,ICCSMT '24: Proceedings of the 2024 5th International Conference on Computer Science and Management Technology,"85 Citation 114,033 Downloads Highlights",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
96,FDG '25: Proceedings of the 20th International Conference on the Foundations of Digital Games,"Johanna Pirker, Fares Kayali, Katta Spiel, Sabine Harrer, + 2",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
97,SIGCSE 2024: Proceedings of the 55th ACM Technical Symposium on Computer Science Education V. 1,"Ben Stephenson, Jeffrey A. Stone, Lina Battestilli, + 2",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
98,FMANO '25: Proceedings of the 2nd Workshop on Formal Methods Aided Network Operation,"0 Citation 1,475 Downloads Highlights",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
99,HotNets '23: Proceedings of the 22nd ACM Workshop on Hot Topics in Networks,"366 Citation 27,092 Downloads Highlights",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
100,APNET '25: Proceedings of the 9th Asia-Pacific Workshop on Networking,"19 Citation 52,840 Downloads Highlights",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
101,EuroSys '25: Proceedings of the Twentieth European Conference on Computer Systems,"398 Citation 193,421 Downloads Highlights",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
102,RACS '25: Proceedings of the International Conference on Research in Adaptive and Convergent Systems,"8 Citation 4,245 Downloads Highlights",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
103,ACM SIGCOMM '24: Proceedings of the ACM SIGCOMM 2024 Conference,"Aruna Seneviratne, Darryl Veitch, Vyas Sekar, Minlan Yu",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
104,APNet '24: Proceedings of the 8th Asia-Pacific Workshop on Networking,"171 Citation 21,029 Downloads Highlights",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
105,AAMAS '25: Proceedings of the 24th International Conference on Autonomous Agents and Multiagent Systems,"Sanmay Das, Ann Nowé, Yevgeniy Vorobeychik",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
106,"Task Offloading for CAVs Edge Computing Environment: Taxonomy, Critical Review, and Future Road Map","Bhoopendra Kumar, Aditya Bhardwaj, Dinesh Prasad Sahu",2026,"ACM Computing Surveys (CSUR), Volume 58, Issue 8Article No.: 194, Pages 1–35https://doi.org/10.1145/3783984",String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
107,EITCE '23: Proceedings of the 2023 7th International Conference on Electronic Information Technology and Computer Engineering,"118 Citation 70,819 Downloads Highlights",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
108,"DNN Partitioning for Cooperative Inference in Edge Intelligence: Modeling, Solutions, Toolchains","Yuntao Hao, Nan Ding, Weiguo Xia, Hongwei Ge, Li Xu",2026,"ACM Computing Surveys (CSUR), Volume 58, Issue 8Article No.: 204, Pages 1–34https://doi.org/10.1145/3786145",String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
109,AICCONF '24: Proceedings of the Cognitive Models and Artificial Intelligence Conference,"263 Citation 21,790 Downloads Highlights",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
110,CNSSE '25: Proceedings of the 2025 5th International Conference on Computer Network Security and Software Engineering,"26 Citation 32,216 Downloads Highlights",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
111,ASIA CCS '24: Proceedings of the 19th ACM Asia Conference on Computer and Communications Security,"Jianying Zhou, Tony Q. S. Quek, Debin Gao, Alvaro Cardenas",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
112,Egocentric Vehicle Dense Video Captioning,"Feiyu Chen, Cong Xu, Qi Jia, Yihua Wang, Yuhan Liu, Haotian Zhang, + 1",2026,MM '24: Proceedings of the 32nd ACM International Conference on MultimediaPages 137–146https://doi.org/10.1145/3664647.3681214,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
113,VaMoS '24: Proceedings of the 18th International Working Conference on Variability Modelling of Software-Intensive Systems,"Timo Kehrer, Marianne Huchard, Leopoldo Teixeira, Christian Birchler",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
114,CC '26: Proceedings of the 35th ACM SIGPLAN International Conference on Compiler Construction,"Martin Kong, Uday Bondhugula, Tobias Grosser",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
115,HRI '24: Proceedings of the 2024 ACM/IEEE International Conference on Human-Robot Interaction,"Dan Grollman, Elizabeth Broadbent, Wendy Ju, Harold Soh, + 1",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
116,e-Energy '24: Proceedings of the 15th ACM International Conference on Future and Sustainable Energy Systems,"301 Citation 60,223 Downloads Highlights",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
117,Computing Contingent Plan Graphs using Online Planning,"Shlomi Maliah, Radimir Komarnitski, Guy Shani",2026,"ACM Transactions on Autonomous and Adaptive Systems (TAAS), Volume 16, Issue 1Article No.: 1, Pages 1–30https://doi.org/10.1145/3488903",String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
118,ICSE '23: Proceedings of the 45th International Conference on Software Engineering,"John Grundy, Lori Pollock, Massimiliano Di Penta",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
119,Local Interpretations for Explainable Natural Language Processing: A Survey,"Siwen Luo, Hamish Ivison, Soyeon Caren Han, Josiah Poon",2026,"ACM Computing Surveys (CSUR), Volume 56, Issue 9Article No.: 232, Pages 1–36https://doi.org/10.1145/3649450",String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
120,CODES/ISSS '23 Companion: Proceedings of the 2023 International Conference on Hardware/Software Codesign and System Synthesis,"Xiaobo Sharon Hu, Mohammad Abdullah Al Faruque",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
121,NANOARCH '23: Proceedings of the 18th ACM International Symposium on Nanoscale Architectures,"Ronald Tetzlaff, Fernando Corinto, Neil Kemp, Alon Ascoli, + 13",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
122,A Study of Situational Reasoning for Traffic Understanding,"Jiarui Zhang, Filip Ilievski, Kaixin Ma, Aravinda Kollaa, Jonathan Francis, + 1",2026,KDD '23: Proceedings of the 29th ACM SIGKDD Conference on Knowledge Discovery and Data MiningPages 3262–3272https://doi.org/10.1145/3580305.3599246,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
123,"CMSDA '25: Proceedings of the 2025 5th International Conference on Computational Modeling, Simulation and Data Analysis","0 Citation 51,611 Downloads Highlights",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
124,ICISE '23: Proceedings of the 2023 8th International Conference on Information Systems Engineering,"29 Citation 10,449 Downloads Highlights",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
125,ICCAD '22: Proceedings of the 41st IEEE/ACM International Conference on Computer-Aided Design,"Tulika Mitra, Evangeline Young, Jinjun Xiong",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
126,ISSTA 2023: Proceedings of the 32nd ACM SIGSOFT International Symposium on Software Testing and Analysis,"René Just, Gordon Fraser",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
127,"ADMIT '24: Proceedings of the 2024 3rd International Conference on Algorithms, Data Mining, and Information Technology","9 Citation 19,737 Downloads Highlights",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
128,How Hard Can It Be? Quantifying MITRE Attack Campaigns with Attack Trees and cATM Logic,"Stefano M. Nicoletti, Milan Lopuhaä-Zwakenberg, Mariëlle Stoelinga, + 2",2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Just Accepted https://doi.org/10.1145/3789665",String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
129,CIBDA '25: Proceedings of the 2025 6th International Conference on Computer Information and Big Data Applications,"25 Citation 114,300 Downloads Highlights",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
130,MPLR '25: Proceedings of the 22nd ACM SIGPLAN International Conference on Managed Programming Languages and Runtimes,Tomoharu Ugawa,2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
131,Towards Explainable Access Control [BlueSky Paper],"Gelareh Hasel Mehri, Charles Morisset, Nicola Zannone",2026,SACMAT '25: Proceedings of the 30th ACM Symposium on Access Control Models and TechnologiesPages 117–126https://doi.org/10.1145/3734436.3734439,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
132,Time Series Analysis Neural Networks for Detecting False Data Injection Attacks of Different Rates on Power Grid State Estimation,"Danushka Senarathna, Spyros Tragoudas, Jason Wibbenmeyer, Nasser Khdeer",2026,"ACM Transactions on Privacy and Security (TOPS), Volume 28, Issue 3Article No.: 36, Pages 1–29https://doi.org/10.1145/3723164",String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
133,IHM '25: Proceedings of the 36th Conference on l'Interaction Humain-Machine,"1 Citation 5,611 Downloads Highlights",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
134,"ACAI '23: Proceedings of the 2023 6th International Conference on Algorithms, Computing and Artificial Intelligence","35 Citation 9,232 Downloads Highlights",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
135,e-Energy '23: Proceedings of the 14th ACM International Conference on Future Energy Systems,"319 Citation 30,111 Downloads Highlights",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
136,ESSE '23: Proceedings of the 4th European Symposium on Software Engineering,"19 Citation 3,604 Downloads Highlights",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
137,Toward Dialogue: Longitudinal Shifts in Computing Students’ Discourse Through Sustained Engagement with People with Diverse Support Needs,"Julia Hermann, Aysegül Dogangün",2026,OzCHI '25: Proceedings of the 37th Australian Conference on Human-Computer InteractionPages 271–286https://doi.org/10.1145/3764687.3764698,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
138,EITCE '22: Proceedings of the 2022 6th International Conference on Electronic Information Technology and Computer Engineering,"260 Citation 117,643 Downloads Highlights",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
139,AIPR '24: Proceedings of the 2024 7th International Conference on Artificial Intelligence and Pattern Recognition,"21 Citation 45,001 Downloads Highlights",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
140,SeeSaw: Interactive Ad-hoc Search Over Image Databases,"Oscar Moll, Manuel Favela, Samuel Madden, Vijay Gadepally, Michael Cafarella",2026,"Proceedings of the ACM on Management of Data (PACMMOD), Volume 1, Issue 4Article No.: 260, Pages 1–26https://doi.org/10.1145/3626754",String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
141,“Intelligent Heuristics Are the Future of Computing”,Shang-Hua Teng,2026,"ACM Transactions on Intelligent Systems and Technology (TIST), Volume 14, Issue 6Article No.: 96, Pages 1–39https://doi.org/10.1145/3627708",String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
142,"SMBD '25: Proceedings of the 2025 International Conference on Simulation, Modeling and Big Data","0 Citation 11,456 Downloads Highlights",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
143,ACSAC '22: Proceedings of the 38th Annual Computer Security Applications Conference,"897 Citation 90,437 Downloads Highlights",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
144,ACM SIGCOMM '23: Proceedings of the ACM SIGCOMM 2023 Conference,"Henning Schulzrinne, Vishal Misra, Eddie Kohler, David Maltz",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
145,EITCE '24: Proceedings of the 2024 8th International Conference on Electronic Information Technology and Computer Engineering,"101 Citation 140,097 Downloads Highlights",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
146,ESEC/FSE 2022: Proceedings of the 30th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering,"Abhik Roychoudhury, Cristian Cadar, Miryung Kim",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
147,"HP3C '22: Proceedings of the 6th International Conference on High Performance Compilation, Computing and Communications","36 Citation 4,803 Downloads Highlights",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
148,VTLayout: A Multi-Modal Approach for Video Text Layout,"Yuxuan Zhao, Jin Ma, Zhongang Qi, Zehua Xie, Yu Luo, Qiusheng Kang, + 1",2026,MM '23: Proceedings of the 31st ACM International Conference on MultimediaPages 2775–2784https://doi.org/10.1145/3581783.3611870,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
149,CSW '22: Proceedings of the 2022 International Conference on Cyber Security,"12 Citation 1,979 Downloads Highlights",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
150,ICSCA '24: Proceedings of the 2024 13th International Conference on Software and Computer Applications,"93 Citation 18,326 Downloads Highlights",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
151,"RICAI '22: Proceedings of the 2022 4th International Conference on Robotics, Intelligent Control and Artificial Intelligence","133 Citation 50,951 Downloads Highlights",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
152,ICVIP '22: Proceedings of the 2022 6th International Conference on Video and Image Processing,"25 Citation 5,368 Downloads Highlights",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
153,PEAI '24: Proceedings of the 2024 International Conference on Power Electronics and Artificial Intelligence,"50 Citation 23,003 Downloads Highlights",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
154,"ICBICC '22: Proceedings of the 2022 International Conference on Big Data, IoT, and Cloud Computing","9 Citation 3,888 Downloads Highlights",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
155,Verifying imprecisely working arithmetic circuits,"M. Huhn, K. Schneider, Th. Kropf, G. Logothetis",2026,"DATE '99: Proceedings of the conference on Design, automation and test in EuropePages 13–eshttps://doi.org/10.1145/307418.307451",String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
156,"TEI '23: Proceedings of the Seventeenth International Conference on Tangible, Embedded, and Embodied Interaction","551 Citation 56,301 Downloads Highlights",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
157,ICCSMT '23: Proceedings of the 2023 4th International Conference on Computer Science and Management Technology,"55 Citation 30,806 Downloads Highlights",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
158,WWW '19: The World Wide Web Conference,"Ling Liu, Ryen White",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
159,PLDI '16: Proceedings of the 37th ACM SIGPLAN Conference on Programming Language Design and Implementation,"Chandra Krintz, Emery Berger",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
160,AI-Driven Acceptance Testing: first insights exploring the educational potential for test analysts,"Caio Jordan de Lima Maia, Yuska Paola Costa Aguiar",2026,SBQS '24: Proceedings of the XXIII Brazilian Symposium on Software QualityPages 665–672https://doi.org/10.1145/3701625.3701691,String B,INCLUDE,
