id,title,authors,year,venue,search_strings,v1_decision,v1_reason,v2_decision,v2_reason
99,Integrating Model-Driven Engineering and Large Language Models for Test Scenario Generation for Smart Contracts,"I Al-Azzoni, S Iqbal, T Al Ashkar, Z Erum - Information, 2025",2026,mdpi.com,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
100,Personas for Model-based Testing,"B Budihala, J Michael, B Rumpe",2025,epub.uni-regensburg.de,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
101,Enhancing Legal Compliance and Regulation Analysis with Large Language Models,S Hassaniahari,2026,ruor.uottawa.ca,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
102,WaAgents: A Waterfall-Inspired Framework for Effective Multi-Agent Collaboration,"Z Cheng, YL Xiao, Q Huang, Z Zou, Z Xing, S Wang…",2026,openreview.net,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
103,GitHub Copilot for the Software Quality Process in Financial Companies,"JE Paz-Diaz¹, P Valerio¹, W Ticona - … : Emerging Trends and …, 2025",2026,books.google.com,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
104,Connecting Requirements Engineering to Agentic Development,"J Kawelke, T Niebisch - … Real-World Impact: From Structured Requirements …, 2026",2026,Springer,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
105,Toward AI-assisted Framework for Agile Requirement Knowledge Management: Five-Stage Generative LLM Approach,"R Kruk, N Zhukovska - 2025 15th International Conference on …, 2025",2026,ieeexplore.ieee.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
106,Enhancing Requirements via Structured Formalization and Process‐State Consistency Validation: An LLM‐Assisted Test‐Driven Framework,"H Li, L Zheng - IET Software, 2025",2026,Wiley Online Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
107,A Test-Driven Approach for Refining Use Case Specifications of Software Requirements with LLMs,"H Li, L Zheng, Q Cai - International Conference on Formal Engineering …, 2025",2026,Springer,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
108,An efficient approach to represent enterprise web application structure using Large Language Model in the service of Intelligent Quality Engineering,"ZAH Ayon, G Husain, R Bisoi, W Rahman… - arXiv preprint arXiv …, 2025",2026,arxiv.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
109,[TRÍCH DẪN] Aplicación de IA generativa para el mantenimiento de pruebas automáticas,I Ascó Cholbi,2025,Google Scholar,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
110,Génération et affinement automatisés d'histoires utilisateurs agiles à partir de documents de conception (GDD) de jeux vidéo à l'aide de modèles de langage à grande …,W Khelifa,2025,constellation.uqac.ca,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
111,Semi-Automatic Generation of Production Exception Handling for Agile Process Guidance,H Blaess,2025,repositum.tuwien.at,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
112,VECTOR: A Structured Method for AI-Assisted Fullstack Software Development,"FM Glancszpigel - Available at SSRN 6516343, 2026",2026,papers.ssrn.com,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
113,SELF-LEARNING TEST AUTOMATION FRAMEWORKS USING REINFORCEMENT LEARNING AND LARGE LANGUAGE MODELS,J Greg,2025,researchgate.net,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
114,Software testing with generative AI,M Winteringham,2024,books.google.com,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
115,The Specification as Quality Gate: Three Hypotheses on AI-Assisted Code Review,"C Zietsman - arXiv preprint arXiv:2603.25773, 2026",2026,arxiv.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
116,"Evaluating LLM-Generated Test Scripts, Manual Test Development, and Capture-and-Replay Approaches for Testing XR Applications",SN Modarressi,2025,ucalgary.scholaris.ca,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
117,Prompt-Based REST API Test Amplification in Industry: An Experience Report,"T Bardakci, A Faes, M Beyazit, S Demeyr - arXiv preprint arXiv:2601.17903, 2026",2026,arxiv.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
118,GivenWhenThen: A Dataset of BDD Test Scenarios Mined from Open Source Projects,"LB de Alcântara Júnior, JE Montandon",2026,researchgate.net,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
119,Chatgpt as a full-stack web developer,"V Liukko, A Knappe, T Anttila, J Hakala, J Ketola… - Generative AI for …, 2024",2026,Springer,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
120,How Software Testers Perceive Large Language Models: A Focus Group Study with Lexicometric Analysis,"I Silva, M Perkusich, D Albuquerque… - … de Engenharia de …, 2025",2026,sol.sbc.org.br,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
121,Reducing Information Asymmetry in Software Product Management: An LLM-Based Reverse Engineering Framework,"E Surk, GG Menekse Dalveren, M Derawi - Applied Sciences, 2026",2026,mdpi.com,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
122,Large Language Models for Generating,"B Nast, T Arlt¹, J Dakowski¹… - … Information Systems: 26th …, 2026",2026,books.google.com,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
123,An Autonomous RL Agent Methodology for Dynamic Web UI Testing in a BDD Framework,"AH Mughal - arXiv preprint arXiv:2503.08464, 2025",2026,arxiv.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
124,Generative artificial intelligence in agile software development processes: A literature review focused on user experience,"H Cornide-Reyes, D Monsalves, E Durán… - … Conference on Human …, 2025",2026,Springer,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
125,An LLM-Based System for Accessible and Personalized Scientific Communication,"M Rehman, A Petrillo, K Awasare - Procedia Computer Science, 2025",2026,Elsevier,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
126,Using Large Language Models for System Modeling: Current State and Future Implications,"C Fresemann, C Ellsel… - 2025 IEEE …, 2025",2026,ieeexplore.ieee.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
127,LLM-Driven Accessible Interface: A Model-Based Approach,"B Jerry, L Moreno, V Francisco, R Hervas - arXiv preprint arXiv …, 2026",2026,arxiv.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
128,"Unit test generation with GitHub Copilot, A Case Study",S Humalajoki,2024,utupub.fi,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
129,NLP4ReF: Requirements classification and forecasting: From model-based design to large language models,"J Peer, Y Mordecai, Y Reich - 2024 IEEE Aerospace …, 2024",2026,ieeexplore.ieee.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
130,AutoMT: A Multi-Agent LLM Framework for Automated Metamorphic Testing of Autonomous Driving Systems,"L Liang, C Tan, Y Deng, Y Cai, TY Chen… - arXiv preprint arXiv …, 2025",2026,arxiv.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
131,[TRÍCH DẪN] Generating Test Cases Through Large Language Models,E Foley,2024,WORCESTER POLYTECHNIC …,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
132,A Business Process-Centric Approach for LLM-Driven Functional Test Generation,"MP Trong, NT Son, VT Giang, BH Viet, DT Tung - IEEE Access, 2026",2026,ieeexplore.ieee.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
133,Context of collaborative human-machine systems architecture design for enhanced functionality awareness and balanced command and control authority,"VK Marini, J Alfredson, P Krus - Swedish Aerospace Conference …, 2025",2026,ecp.ep.liu.se,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
134,Towards code generation from bdd test case specifications: A vision,"L Chemnitz, D Reichenbach, H Aldebes… - arXiv preprint arXiv …, 2023",2026,arxiv.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
135,CodeProphet: A Predictive LLM Based Framework for Proactive Software Development Planning,"P Pisal, N Gupta, RR Ambavaram… - … , and Internet of …, 2025",2026,ieeexplore.ieee.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
136,NL: Het gebruik van LLM-prompt engineering voor het vertalen van acceptatiecriteria naar functionele eisen,"IMVA BPMIT, KASK van der Kruk, LW Rutledge…",2026,research.ou.nl,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
137,A Test-Driven Approach for Refining Use Case,"H Li, L Zheng, Q Cai - … 2025, Hangzhou, China, November 10–13 …, 2025",2026,books.google.com,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
138,Swe-dev: Building software engineering agents with training and inference scaling,"H Wang, Z Hou, Y Wei, J Tang… - Findings of the …, 2025",2026,aclanthology.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
139,"LLM-as-a-Judge for Scalable Test Coverage Evaluation: Accuracy, Operational Reliability, and Cost","D Huang, S Chew, A Dutkiewicz, Z Wang - arXiv preprint arXiv …, 2025",2026,arxiv.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
140,Generating Abuse Stories and Misuse Cases using Large Language Models,"C Cheh, NSK Shing, R Lim… - 2024 Annual Computer …, 2024",2026,ieeexplore.ieee.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
141,The Productivity-Reliability Paradox: Specification-Driven Governance for AI-Augmented Software Development,"SE Farrag - arXiv preprint arXiv:2605.01160, 2026",2026,arxiv.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
142,Reversa: A Reverse Documentation Engineering Framework for Converting Legacy Software into Operational Specifications for AI Agents,"SO de Macedo, RM da Costa - arXiv preprint arXiv:2605.18684, 2026",2026,arxiv.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
143,Bachelor's Thesis Computing Science,"D Elens, M Wessel, J Richards, J Jorna, E Poll",2025,cs.ru.nl,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
144,Large language models for software engineering: Survey and open problems,"A Fan, B Gokkaya, M Harman… - 2023 IEEE/ACM …, 2023",2026,ieeexplore.ieee.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
145,Automated testing of the gui of a real-life engineering software using large language models,"T Rosenbach, D Heidrich… - 2025 IEEE International …, 2025",2026,ieeexplore.ieee.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
146,Intent Based E2E Automated Test Case Generation for Web Applications Using LLM,"ZU Abideen, G Junxia - 2025 IEEE 49th Annual Computers …, 2025",2026,ieeexplore.ieee.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
147,LLMs for Requirements Engineering: A Meta-Analysis on Trends and Challenges,"C Ciano, M Pelosi, A Del Prete, F Amato - … Information Networking and …",2026,books.google.com,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
148,An empirical evaluation of using large language models for automated unit test generation,"M Schäfer, S Nadi, A Eghbali… - IEEE Transactions on …, 2023",2026,ieeexplore.ieee.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
149,Conceptual Framework for Integrating Generative AI into the Product Management Lifecycle,"F Ghazi, S Mariam",2026,researchgate.net,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
150,Towards Automated Software Testing-Applying TextGrad to Test Suite Generation using LLMs,M Gärtner,2026,sosy-lab.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
151,Transforming Test Automation: AI-Driven Object Locator Extraction for Delphi-Based Applications,"MN Afatsun, Ö Keküllüoğlu… - 2025 9th International …, 2025",2026,ieeexplore.ieee.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
152,LLM4TDG: test-driven generation of large language models based on enhanced constraint reasoning,"J Liu, R Liang, X Zhu, Y Zhang, Y Liu, Q Liu - Cybersecurity, 2025",2026,Springer,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
153,LLM-Empowered Scriptless Functional Testing,"C Van Hooren, FP Ricós, S Bromuri… - … on Software Quality …, 2025",2026,ieeexplore.ieee.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
154,Technique to Baseline QE Artefact Generation Aligned to Quality Metrics,"E Farchi, K Nayak, PG Majumdar, S Route - arXiv preprint arXiv …, 2025",2026,arxiv.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
155,Bidirectional Empowerment of Metamorphic Testing and Large Language Models: A Systematic Survey,"Z Zheng, Z Zhou, Y Xu, D Ren, TY Chen - arXiv preprint arXiv:2605.13898, 2026",2026,arxiv.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
156,"Comparative Analysis of API Test Automation Frameworks: An Experimental Study on Performance, Reliability, and CI/CD",YR Shah,2026,researchgate.net,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
157,Extending Test-driven development to Softwarized Networks and Intent Based Networking,"D Berardi, M Fontana, B Martini - 2025 21st International …, 2025",2026,ieeexplore.ieee.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
158,Automated Test Case Generation Using Machine Learning And Natural Language Processing,"AD MR, A Jabbar - 2025 International Conference on Intelligent …, 2025",2026,ieeexplore.ieee.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
159,LLM-Assisted Test Automation: A Cognitive Software Testing Framework Using Generative AI,"Ç Temel - TechRxiv, 2025",2026,academia.edu,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
160,Towards generative AI-powered engineering of critical systems,"JP Koopman - TU Delft, 2025",2026,repository.tudelft.nl,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
161,Boosting LLM-based software generation by aligning code with requirements,"T Yaacov, A Elyasaf, G Weiss - … International Requirements …, 2024",2026,ieeexplore.ieee.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
162,Leveraging Large Language Model for Ambiguity Detection and Resolution in Software Requirements,A Raj,2024,search.proquest.com,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
163,Security Is Relative: Training-Free Vulnerability Detection via Multi-Agent Behavioral Contract Synthesis,"Y Wang, Z Huang - arXiv preprint arXiv:2604.19012, 2026",2026,arxiv.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
164,Evaluation-Driven Development and Operations of LLM Agents: A Process Model and Reference Architecture,"B Xia, Q Lu, L Zhu, Z Xing, D Zhao, H Zhang - arXiv preprint arXiv …, 2024",2026,arxiv.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
165,Generative Artificial Intelligence for Software Development Using ISO/IEC 29110 Basic Profile: Gaps and Opportunities,"J Valdivia, D Mauricio, R Guzmán-Jiménez - IEEE Access, 2026",2026,ieeexplore.ieee.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
166,Early-Stage Product Line Validation Using LLMs: A Study on Semi-Formal Blueprint Analysis,"VM Le, TNT Tran, S Lubos, A Felfernig… - arXiv preprint arXiv …, 2026",2026,arxiv.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
167,LLM-AQuA-DiVeR: LLM-Assisted Quality Assurance Through Dialogues on Verifiable Specification with Requirement Owners,"S Mitani, S Moona, S Matsuo… - 2025 IEEE/ACM …, 2025",2026,ieeexplore.ieee.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
168,The impact of LLM-generated models on novice domain modelers: a comparative experiment,"M Bragilovski, AT Van Can, F Dalpiaz… - Empirical Software …, 2026",2026,Springer,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
169,Text to model via SysML: Automated generation of dynamical system computational models from unstructured natural language text via enhanced System Modeling …,"MA Hendricks, A Cicirello - arXiv preprint arXiv:2507.06803, 2025",2026,arxiv.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
170,OrionTest: An Agentic AI Driven Automation,A Goel,2026,authorea.com,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
171,Guidelines to Prompt Large Language Models for Code Generation: An Empirical Characterization,"A Midolo, A Giagnorio, F Zampetti, R Tufano… - arXiv preprint arXiv …, 2026",2026,arxiv.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
172,Completion of SysML state machines from Given–When–Then requirements: M. Stella de Biase et al.,"MS De Biase, S Bernardi, S Marrone… - Software and Systems …, 2024",2026,Springer,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
173,LLM-Empowered Event-Chain Driven Code Generation for ADAS in SDV systems,"N Petrovic, N Kroth, A Torschmied, Y Song… - arXiv preprint arXiv …, 2025",2026,arxiv.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
174,Enhancing domain modeling with pre-trained large language models: an automated assistant for domain modelers,"D Prokop, Š Stenchlák, P Škoda, J Klímek… - … on Conceptual Modeling, 2024",2026,Springer,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
175,Multi-modal requirements data-based acceptance criteria generation using llms,"F Wang, C Arora, Y Liu, K Huang… - arXiv preprint arXiv …, 2025",2026,arxiv.org,String A; String B,INCLUDE,,,
176,User Story Automation in Software Engineering: insights from the literature,"FAM Domínguez, MA Quintana… - 2024 12th …, 2024",2026,ieeexplore.ieee.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
177,Automation of Polynomial Formal Verification using Large Language Models,"L Müller, K Qayyum, N Hugo, M Hassan, R Drechsler",2026,agra.informatik.uni-bremen.de,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
178,"Advancing Software Test Management, Effort Estimation, and Educational Practices with Predictive and Generative AI",S Haldar,2025,uwo.scholaris.ca,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
179,Drivegpt4: Interpretable end-to-end autonomous driving via large language model,"Z Xu, Y Zhang, E Xie, Z Zhao, Y Guo… - IEEE Robotics and …, 2024",2026,ieeexplore.ieee.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
180,A survey on test case generation based on prompt engineering and large language models,"H Cui, M Zhao, D Li - … on AI-Generated Content (AIGC 2025), 2026",2026,spiedigitallibrary.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
181,Using Large Language Models for Black-Box Testing of FMU-Based Simulations,"A Mughees, G Sudheerbabu, T Ahmad… - arXiv preprint arXiv …, 2026",2026,arxiv.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
182,Harnessing AI From Code Reusability to Business Requirement Translation,"V Ghaatki - AI Frameworks and Tools for Software Development, 2025",2026,igi-global.com,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
183,ASSURE: Metamorphic Testing for AI-powered Browser Extensions,"X Gao, J Zhai, S Ma, S Xie, C Shen - arXiv preprint arXiv:2507.05307, 2025",2026,arxiv.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
184,Using an AI chatbot to refine Gherkin specifications based on stakeholder comments,"J Shi, A Dryaev, K Schneider",2024,repo.uni-hannover.de,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
185,LLM-based MaSE,SH Zadeh,2025,hivelab-uoft.ca,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
186,POMify: Rifattorizzazione automatizzata dei test web end-to-end verso il modello Page Object Model,M Lepre,2026,unire.unige.it,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
187,Rapid End-to-End Test Generation and Hallucination Mitigation using Generative Artificial Intelligence,"C Barathidass, K Namburu - IEEE Access, 2026",2026,ieeexplore.ieee.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
188,Software Unit Test Automation with LLM-Based Generative AI: Evaluating Test Quality through Code Coverage and Edge-Case Analysis,"S Genç, MF Ceylan, A İstanbullu - 2025 10th International …, 2025",2026,ieeexplore.ieee.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
189,Towards LLM-based generation of human-readable proofs in polynomial formal verification,"R Drechsler - arXiv preprint arXiv:2505.23311, 2025",2026,arxiv.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
190,Uma investigação empírica da engenharia de prompts em LLMs como estratégia para a geração de histórias de usuário,MO Felipe,2026,repositorio.ufc.br,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
191,Behavior driven development for 3D games,"FP Ricós, B Marín, I Prasetya, TEJ Vos… - Data & Knowledge …, 2025",2026,Elsevier,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
192,TDFlow: Agentic Workflows for Test Driven Development,"K Han, S Maddikayala, T Knappe, O Patel… - arXiv preprint arXiv …, 2025",2026,arxiv.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
193,Generative language models potential for requirement engineering applications: insights into current strengths and limitations,"S Saleem, MN Asim, LV Elst, A Dengel - Complex & Intelligent Systems, 2025",2026,Springer,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
194,"Developer experiences with a contextualized ai coding assistant: Usability, expectations, and outcomes","G Pinto, C De Souza, T Rocha, I Steinmacher… - Proceedings of the …, 2024",2026,dl.acm.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
195,Large Language Models for Generating ArchiMate Models,"B Nast, T Arlt, J Dakowski, K Sandkuhl - International Conference on …, 2026",2026,Springer,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
196,Object oriented BDD and executable human-language module specification,"E Lee, J Gong, Q Cao - 2023 26th ACIS International Winter …, 2023",2026,ieeexplore.ieee.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
197,AI-Driven E2E testing and cucumber test generation: a GPT-powered approach for improved software quality and collaboration,"U Winkler - IEEE lnternational Conference on Advanced Trends in …, 2024",2026,Springer,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
198,Exploring Visual Question Answering Capabilities of Multi-Modal Large Language Models with Model Based Systems Engineering Models,"R Bell, R Longshore, R Madachy",2025,dair.nps.edu,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
